建筑ID,KEY,文本,建筑成本,启用科技,过时科技,国策要求,国教,宗教,帮助,策略
0,TXT_KEY_BUILDING_PALACE,宫殿,160,,,,,,,"拥有<color=204,204,216,255>宫殿</color>的城市是文明的首都，其他城市维护费的高低由距离首都的远近决定。<color=204,204,216,255>宫殿</color>能产生文化和少量商业收入。"
1,TXT_KEY_BUILDING_BARRACKS,兵营,50,,,,,,,"<color=204,204,216,255>兵营</color>为所在城市组建的单位提供经验值。可在所有需要组建军事单位的城市建造。"
2,TXT_KEY_BUILDING_ASSYRIA_EKAL,马沙尔提军营,50,,,,,,,TXT_KEY_BUILDING_ASSYRIA_EKAL_STRATEGY
3,TXT_KEY_BUILDING_ZULU_IKHANDA,特训兵营,60,,,,,,,"<color=204,204,216,255>特训兵营</color>是祖鲁的特色建筑，替代<color=204,204,216,255>兵营</color>，可使所在城市新组建的单位获得额外经验值，并减少城市维护费。"
4,TXT_KEY_BUILDING_ROME_CASTRA,罗马兵营,50,,,,,,,"<color=204,204,216,255>Castrum</color>是罗马帝国对<color=204,204,216,255>军营</color>和<color=255,255,0,255>近战部队</color>的罗马替代品。"
5,TXT_KEY_BUILDING_GRANARY,粮仓,60,制陶术( Pottery ),,,,,,"<color=204,204,216,255>粮仓</color>储存食物，加速城市成长。在拥有<color=102,229,255,255>玉米</color>、<color=102,229,255,255>小麦</color>和<color=102,229,255,255>稻米</color>资源的情况下可提升城市健康度。"
6,TXT_KEY_BUILDING_INCAN_TERRACE,梯田,60,制陶术( Pottery ),,,,,,"<color=204,204,216,255>梯田</color>是印加的特色建筑，替代<color=204,204,216,255>粮仓</color>，可提供少量文化点数，并能储存食物加速城市人口增长。如果拥有<color=102,229,255,255>玉米</color>、<color=102,229,255,255>小麦</color>和<color=102,229,255,255>稻米</color>还可提供额外健康点数。"
7,TXT_KEY_BUILDING_WARI_COLCAS,瓦里祭坛,60,制陶术( Pottery ),,,,,,TXT_KEY_BUILDING_WARI_COLCAS_STRATEGY
8,TXT_KEY_BUILDING_INUIT_IGLOO,因纽特冰屋,60,制陶术( Pottery ),,,,,﯆冰原和冻土地块+1 食物和产能,TXT_KEY_BUILDING_INUIT_IGLOO_STRATEGY
9,TXT_KEY_BUILDING_SMOKEHOUSE,熏肉坊,60,畜牧( Pastoralism ),,,,,,"<color=204,204,216,255>熏肉房</color>通过访问<color=102,229,255,255>奶牛</color>、<color=102,229,255,255>鹿</color>、<color=102,229,255,255>猪</color>和<color=102,229,255,255>羊</color>来增加城市的健康。"
10,TXT_KEY_BUILDING_SCOTTISH_SHIELING,牧羊场,60,畜牧( Pastoralism ),,,,,,TXT_KEY_BUILDING_SCOTTISH_SHIELING_STRATEGY
11,TXT_KEY_BUILDING_ZIMBABWE_KRAAL,津巴布韦牧场,60,畜牧( Pastoralism ),,,,,,"<color=204,204,216,255>津巴布韦牧场</color>是津巴布韦替代[COLOR\u BUILDING_TEXT]烟熏房</color>的产品，提高了<color=102,229,255,255>奶牛</color>、<color=102,229,255,255>鹿</color>、<color=102,229,255,255>猪</color>和<color=102,229,255,255>马[COLOR\u REVERT]的地块产量。"
12,TXT_KEY_BUILDING_KHAZARS_SALTOVO,可萨烟熏室,60,畜牧( Pastoralism ),,,,,羊和牛吸引了丝绸之路,TXT_KEY_BUILDING_KHAZARS_SALTOVO_STRATEGY
13,TXT_KEY_BUILDING_PAGAN_TEMPLE,原始神庙,30,神话( Mythology ),,,,,,"<color=204,204,216,255>异教寺庙</color>提供少量文化。"
14,TXT_KEY_BUILDING_MONUMENT,纪念碑,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>纪念碑</color>可提供少量文化点数，适宜在早期扩展城市的文化边界。"
15,TXT_KEY_BUILDING_ARMENIAN_KHACHKAR,神圣十字架,40,宗教仪式( Ceremony ),,,,,,TXT_KEY_BUILDING_ARMENIAN_KHACHKAR_STRATEGY
16,TXT_KEY_BUILDING_EGYPTIAN_OBELISK,方尖碑,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>方尖碑</color>是埃及的特色建筑，替代<color=204,204,216,255>纪念碑</color>，为所在城市带来大量文化产出，可将一个<color=102,229,255,255>市民</color>转化为<color=102,229,255,255>神学家</color>。"
17,TXT_KEY_BUILDING_ETHIOPIAN_STELE,纪念石柱,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>纪念石柱</color>为埃塞俄比亚的特色建筑，替代<color=204,204,216,255>纪念碑</color>，可使所在城市文化产出大幅增加。"
18,TXT_KEY_BUILDING_INDONESIAN_CANDI,浮屠,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>浮屠</color>代替<color=204,204,216,255>剧院</color>为印尼提供+1快乐和额外的文化。"
19,TXT_KEY_BUILDING_INDIAN_EDICT,印度纪念碑,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>法令</color>，印度取代<color=204,204,216,255>纪念碑</color>，降低了城市维护成本。"
20,TXT_KEY_BUILDING_POLYNESIAN_MALAE,玛拉,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>玛拉</color>，波利尼西亚人取代<color=204,204,216,255>纪念碑</color>，提供额外的文化，并允许您雇用一名<color=102,229,255,255>艺术家</color>专家。"
21,TXT_KEY_BUILDING_NATIVE_AMERICAN_TOTEM_POLE,图腾柱,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>图腾柱</color>是美洲土著的特色建筑，取代<color=204,204,216,255>原始神庙</color>，为城市新组建投射单位+3经验。"
22,TXT_KEY_BUILDING_TIBET_STATUE,西藏浮雕,40,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>纪念碑</color>可提供少量文化点数，适宜在早期扩展城市的文化边界。"
23,TXT_KEY_BUILDING_SWAHILI_ZIARA,斯瓦希里纪念碑,50,宗教仪式( Ceremony ),,,,,,"<color=204,204,216,255>Ziara</color>是斯瓦希里人<color=204,204,216,255>纪念碑</color>的替代品，提供了一条自由贸易路线。"
24,TXT_KEY_BUILDING_NUBIAN_DEFFUFAS,努比亚纪念碑,40,宗教仪式( Ceremony ),,,,,,TXT_KEY_BUILDING_NUBIAN_DEFFUFAS_STRATEGY
25,TXT_KEY_BUILDING_NORTE_CHICO_SHICRA,小北土堡,20,宗教仪式( Ceremony ),,,,,,TXT_KEY_BUILDING_NORTE_CHICO_SHICRA_STRATEGY
26,TXT_KEY_BUILDING_OLMEC_COLOSSAL_HEAD,巨神头像,40,宗教仪式( Ceremony ),,,,,,TXT_KEY_BUILDING_OLMEC_COLOSSAL_HEAD_STRATEGY
27,TXT_KEY_BUILDING_WALLS,城墙,50,建筑构造学( Construction ),弹道学( Ballistics ),,,,,"<color=204,204,216,255>城墙</color>提升城市对火器时代以前单位的防御能力。建造城墙可抵御敌国或蛮族的攻击。"
28,TXT_KEY_BUILDING_NIGERIA_IYA,尼日利亚城墙,50,建筑构造学( Construction ),,,,,,"<color=204,204,216,255>Iya</color>是尼日利亚对<color=204,204,216,255>墙的替代品，降低了城市维护成本。"
29,TXT_KEY_BUILDING_CELTIC_DUN,丘堡,30,建筑构造学( Construction ),弹道学( Ballistics ),,,,,"<color=204,204,216,255>丘堡</color>是凯尔特的特色建筑，替代<color=204,204,216,255>城墙</color>，可提升城市防御冷兵器时代单位的能力，并使所在城市新组建的单位自动获得<color=102,229,255,255>游击一级</color>晋升。"
30,TXT_KEY_BUILDING_MOORS_KASBAH,摩尔城墙,50,建筑构造学( Construction ),弹道学( Ballistics ),,,,,"<color=204,204,216,255>Kasbah</color>是摩尔人对<color=204,204,216,255>墙的替代品[COLOR_ruit_TEXT]，提供额外的食物。"
31,TXT_KEY_BUILDING_STABLE,马厩,60,骑术( Riding ),军力投送( Power_projection ),,,,,"<color=204,204,216,255>马厩</color>为骑乘单位提供额外经验值。"
32,TXT_KEY_BUILDING_MONGOLIAN_GER,毡帐,60,骑术( Riding ),军力投送( Power_projection ),,,,,"<color=204,204,216,255>毡帐</color>是蒙古的特色建筑，替代<color=204,204,216,255>马厩</color>，为所在城市组建的<color=255,255,0,255>骑座单位</color>提供更多的经验。同时增加已开发的<color=102,229,255,255>马</color>、<color=102,229,255,255>牛</color>和<color=102,229,255,255>羊</color>资源地块产出。"
33,TXT_KEY_BUILDING_ARGENTINA_ESTANCIA,阿根廷牧场,60,骑术( Riding ),军力投送( Power_projection ),,,,,"<color=204,204,216,255>阿根廷牧场</color>是<color=204,204,216,255>马厩</color>的阿根廷替代品，为其城市半径内的每个<color=102,229,255,255>牧场</color>提供免费专家。"
34,TXT_KEY_BUILDING_SPAIN_BULLRING,西班牙斗牛场,60,骑术( Riding ),军力投送( Power_projection ),,,,,"<color=204,204,216,255>西班牙斗牛场<color=102,229,255,255>，替代马厩，增加马匹和牛的商业产出"
35,TXT_KEY_BUILDING_XIONGNU_GER_TEREG,毡帐,60,骑术( Riding ),军力投送( Power_projection ),,,,,TXT_KEY_BUILDING_XIONGNU_GER_TEREG_STRATEGY
36,TXT_KEY_BUILDING_LIBRARY,图书馆,90,文字( Writing ),,,,,,"<color=204,204,216,255>图书馆</color>促进城市的科研并提供文化产出。是建造<color=204,204,216,255>大学</color>、<color=204,204,216,255>大图书馆</color>奇观，以及<color=204,204,216,255>民族史诗</color>和<color=204,204,216,255>英雄史诗</color>国家奇观的前提。"
37,TXT_KEY_BUILDING_BABYLONIAN_EDUBBA,泥版书屋,45,文字( Writing ),,,,,,"<color=204,204,216,255>埃杜巴</color>，巴比伦人取代<color=204,204,216,255>Libary</color>，是生产成本的一半，增加了科学产出。"
38,TXT_KEY_BUILDING_CHINESE_TAIXUE,太学,90,文字( Writing ),,,,,,"<color=204,204,216,255>太学</color>是中国的特色建筑，替代<color=204,204,216,255>图书馆</color>，提供额外的文化，所在城市可将一个<color=102,229,255,255>市民</color>转化为<color=102,229,255,255>政治家</color>，可将三个<color=102,229,255,255>市民</color>转化为<color=102,229,255,255>科学家</color>。"
39,TXT_KEY_BUILDING_THAI_HO_TRAI,藏经阁,60,文字( Writing ),,,,,,"<color=204,204,216,255>藏经阁</color>，泰语替代<color=204,204,216,255>库</color>，增加幸福感，而且更便宜。"
40,TXT_KEY_BUILDING_TAMIL_SANGAM,桑迦姆,90,文字( Writing ),,,,,,"<color=204,204,216,255>Sangam</color>，泰米尔替代品<color=204,204,216,255>库</color>，提供额外的文化提升，并允许您雇用一名<color=102,229,255,255>艺术家</color>专家。"
41,TXT_KEY_BUILDING_BURMA_PAYA,缅甸佛塔,90,文字( Writing ),,,,,,TXT_KEY_BUILDING_BURMA_PAYA_STRATEGY
42,TXT_KEY_BUILDING_YUEZHI_GANDHARA_SCHOOL,犍陀罗学校,45,文字( Writing ),,,,,﯆建造宗教建筑时+25%产能。,TXT_KEY_BUILDING_YUEZHI_GANDHARA_SCHOOL_STRATEGY
43,TXT_KEY_BUILDING_HARBOR,港口,60,造船( Shipbuilding ),,,,,,"<color=204,204,216,255>港口</color>提升城市来自商路的收入。如拥有<color=102,229,255,255>蛤蜊</color>、<color=102,229,255,255>螃蟹</color>和<color=102,229,255,255>鱼群</color>资源还可提升城市健康度。"
44,TXT_KEY_BUILDING_CARTHAGE_COTHON,迦太基商港,60,造船( Shipbuilding ),,,,,,"<color=204,204,216,255>科顿</color>是腓尼基人对<color=204,204,216,255>港口的替代品，提供了一条额外的贸易路线。"
45,TXT_KEY_BUILDING_POLYNESIA_FISHERY,波利尼西亚港口,60,造船( Shipbuilding ),,,,,,"<color=204,204,216,255>渔业</color>是波利尼西亚人对<color=204,204,216,255>港口的替代品，为改善海洋资源提供了商业机会。"
46,TXT_KEY_BUILDING_PHILIPPINES_PORT,菲律宾港口,60,造船( Shipbuilding ),,,,,,"<color=204,204,216,255>菲律宾港口</color>，菲律宾替代了<color=204,204,216,255>港口</color>，增加了城市的财富产出。"
47,TXT_KEY_BUILDING_OMAN_MINA,阿曼灯塔,60,造船( Shipbuilding ),,,,,,TXT_KEY_BUILDING_OMAN_MINA_STRATEGY
48,TXT_KEY_BUILDING_AQUEDUCT,引水渠,100,水泥( Cement ),,,,,,"<color=204,204,216,255>引水渠</color>提升城市健康度，并是建造<color=204,204,216,255>空中花园</color>奇观的前提。如希望城市进一步发展可建造<color=204,204,216,255>引水渠</color>，或在居民提出要求时再建造。"
49,TXT_KEY_BUILDING_YEMEN_DAM,也门大坝,100,水泥( Cement ),,,,,,TXT_KEY_BUILDING_YEMEN_DAM_STRATEGY
50,TXT_KEY_BUILDING_KHMER_BARAY,人工湖,100,水泥( Cement ),,,,,,"<color=204,204,216,255>人工湖</color>为高棉特色建筑，替代<color=204,204,216,255>引水渠</color>，除提供健康加成外还额外提供食物奖励。<color=204,204,216,255>人工湖</color>是建造<color=204,204,216,255>空中花园</color>的前提。"
51,TXT_KEY_BUILDING_MOORISH_NORIA,戽水车,80,水泥( Cement ),,,,,,"<color=204,204,216,255>诺里亚</color>，摩尔人取代<color=204,204,216,255>渡槽</color>，更便宜，并提供生产奖金。"
52,TXT_KEY_BUILDING_INDIAN_STEPWELL,TXT_KEY_BUILDING_INDIAN_STEPWELL,100,石工术( Masonry ),,,,,,TXT_KEY_BUILDING_INDIAN_STEPWELL_STRATEGY
53,TXT_KEY_BUILDING_AZTEC_CHINAMPA,阿兹特克引水渠,100,水泥( Cement ),,,,,,"<color=204,204,216,255>阿兹特克引水渠</color>，阿兹特克替代<color=204,204,216,255>引水渠</color>提供健康。它提高了改良的<color=102,229,255,255>玉米</color>地块的食品和商业产量，以及改进的<color=102,229,255,255>香料</color>瓷砖的商业产量。"
54,TXT_KEY_BUILDING_IRAN_AB_ANBAR,伊朗引水渠,100,水泥( Cement ),,,,,,"<color=204,204,216,255>Ab Anbar</color>是伊朗对<color=204,204,216,255>引水渠</color>的替代品，提供了一种文化促进。"
55,TXT_KEY_BUILDING_THEATRE,剧场,60,文献( Literature ),,,,,,"<color=204,204,216,255>剧场</color>提升城市文化值，并可通过文化滑杆调整快乐度。<color=204,204,216,255>剧场</color>也是建造<color=204,204,216,255>环球剧场</color>国家奇观的前提。"
56,TXT_KEY_BUILDING_GREEK_ODEON,露天剧场,60,文献( Literature ),,,,,,"<color=204,204,216,255>露天剧场</color>是希腊的特色建筑，替代<color=204,204,216,255>剧场</color>，提升城市快乐度，可将一个<color=102,229,255,255>市民</color>转化为<color=102,229,255,255>政治家</color>。"
57,TXT_KEY_BUILDING_BYZANTINE_HIPPODROME,赛马场,60,文献( Literature ),,,,,,"<color=204,204,216,255>赛马场</color>为拜占庭的特色建筑，替代<color=204,204,216,255>剧场</color>，提供1单位快乐值，如有<color=102,229,255,255>马匹</color>可再增加1单位快乐，如财政预算中文化支出达到特定比例还可额外增加快乐值。"
58,TXT_KEY_BUILDING_GLOBE_THEATRE,环球剧场,60,文献( Literature ),,,,,,"<color=204,204,216,255>罗马剧场</color>罗马剧场</color>取代了<color=204,204,216,255>剧院</color>，增加了城市的文化产出。他们还可以使用<color=102,229,255,255>染料</color>、<color=102,229,255,255>点击单曲</color>或<color=102,229,255,255>大理石</color>来增加城市的幸福感。"
59,TXT_KEY_BUILDING_ARENA,竞技场,80,工程学( Engineering ),,,,,,"<color=204,204,216,255>竞技场</color>增加城市的快乐值，并可通过调整文化杠杆增加快乐值。所在城市拥有<color=204,204,216,255>竞技场</color>是建造<color=204,204,216,255>体育场</color>的前提。"
60,TXT_KEY_BUILDING_MAYAN_BALL_COURT,球场,60,历法( Calendar ),,,,,,"<color=204,204,216,255>足球场</color>，玛雅人取代<color=204,204,216,255>竞技场</color>，更便宜，增加了进入<color=102,229,255,255>击中足球事件</color>的快乐，并授予在其城市中建造的近战和射箭单位经验点。"
61,TXT_KEY_BUILDING_MEXICAN_CHARREADA,查雷达竞技场,80,工程学( Engineering ),,,,,,"<color=204,204,216,255>Charreada竞技场</color>，墨西哥替代<color=204,204,216,255>竞技场</color>，为在其城市中建造的骑兵单位提供经验点，并增加进入<color=102,229,255,255>马匹</color>的快乐度。"
62,TXT_KEY_BUILDING_BABYLONIAN_GARDEN,花园,80,工程学( Engineering ),,,,,,TXT_KEY_BUILDING_BABYLONIAN_GARDEN_STRATEGY
63,TXT_KEY_BUILDING_BYZANTIUM_BASILICA,东罗马大教堂,80,工程学( Engineering ),,,,,,"<color=204,204,216,255>东罗马大教堂</color>，<color=204,204,216,255>圆形剧场的替代品<color=102,229,255,255>热门足球赛事</color>并不会增加城市的幸福感，它确实增加了城市的幸福感，它提供了一个免费的<color=102,229,255,255>香<color=102,229,255,255>神父</color>。"
64,TXT_KEY_BUILDING_LIGHTHOUSE,灯塔,80,导航学( Navigation ),,,,,,"<color=204,204,216,255>灯塔</color>可提升水域的食物产出。<color=204,204,216,255>灯塔</color>是建造<color=204,204,216,255>大灯塔</color>奇观的前提。"
65,TXT_KEY_BUILDING_VIKING_TRADING_POST,贸易据点,80,导航学( Navigation ),,,,,,"<color=204,204,216,255>贸易据点</color>是维京的特色建筑，替代<color=204,204,216,255>灯塔</color>，可提升城市水域的食物产出，并使城市组建的船只自动获得<color=102,229,255,255>导航一级</color>晋升。"
66,TXT_KEY_BUILDING_CHAD_ZANGO,乍得灯塔,80,导航学( Navigation ),,,,,,TXT_KEY_BUILDING_CHAD_ZANGO_STRATEGY
67,TXT_KEY_BUILDING_WEAVER,织布工坊,80,美学( Aesthetics ),,,,,,"<color=204,204,216,255>织工</color>增加城市的文化产出。他们还可以使用<color=102,229,255,255>绵羊<color=102,229,255,255>、<color=102,229,255,255>棉花<color=102,229,255,255>或<color=102,229,255,255>染料<color=102,229,255,255>，增加城市的幸福感，并允许您雇佣两名<color=102,229,255,255>艺术家<color=102,229,255,255>专家。"
68,TXT_KEY_BUILDING_CONGOLESE_MBWADI,姆瓦迪,80,美学( Aesthetics ),,,,,,"<color=204,204,216,255>姆瓦迪</color>，刚果人取代<color=204,204,216,255>编织者</color>，增加了城市的财富产出，并允许你雇用一个<color=102,229,255,255>商人</color>专家。"
69,TXT_KEY_BUILDING_MARKET,市场,150,货币制度( Currency ),,,,,,"<color=204,204,216,255>市场</color>提升城市商业收入。如拥有<color=102,229,255,255>毛皮</color>、<color=102,229,255,255>象牙</color>、<color=102,229,255,255>丝绸</color>，或<color=102,229,255,255>鲸鱼</color>还可提升城市快乐度。"
70,TXT_KEY_BUILDING_ROMAN_FORUM,中心广场,150,货币制度( Currency ),,,,,,"<color=204,204,216,255>中心广场</color>是罗马的特色建筑，替代<color=204,204,216,255>市场</color>，可增加城市财富积累以及 <color=102,229,255,255>历史伟人</color>的产生几率。在拥有<color=102,229,255,255>毛皮</color>、<color=102,229,255,255>象牙</color>、<color=102,229,255,255>丝绸</color>或<color=102,229,255,255>鲸鱼</color>的条件下还能额外提供快乐点数。"
71,TXT_KEY_BUILDING_PHOENICIAN_GLASSMAKER,玻璃作坊,150,货币制度( Currency ),,,,,,"<color=204,204,216,255>玻璃制造厂</color>，腓尼基人取代<color=204,204,216,255>市场</color>，增加城市的贸易路线产量。"
72,TXT_KEY_BUILDING_GREEK_AGORA,希腊集市,150,货币制度( Currency ),,,,,,"<color=204,204,216,255>希腊集市</color>是希腊<color=204,204,216,255>市场的替代品<color=204,204,216,255>。"
73,TXT_KEY_BUILDING_TURKS_BAZAAR,巴扎市场,150,货币制度( Currency ),,,,,,"<color=204,204,216,255>突厥巴扎</color>是土库曼市场<color=204,204,216,255>市场的替代品，提供五种商业。"
74,TXT_KEY_BUILDING_MAMLUK_SOUQ,露天市场,150,货币制度( Currency ),,,,,,"<color=204,204,216,255>露天市场</color>是马穆鲁克对<color=204,204,216,255>市场的替代品，增加了城市的文化产出。"
75,TXT_KEY_BUILDING_JAIL,监狱,120,律法( Law ),,,,,,"<color=204,204,216,255>监狱</color>减少城市的<color=102,229,255,255>厌战情绪</color>，并增加谍报点数产出。可在要卷入长期战争时，或在市民提出要求时建造。"
76,TXT_KEY_BUILDING_AZTEC_SACRIFICIAL_ALTAR,人牲祭坛,90,律法( Law ),,,,,,"<color=204,204,216,255>人牲祭坛</color>是阿兹特克的特色建筑，替代<color=204,204,216,255>监狱</color>，建造成本更低，可减少通过牺牲人口加速生产造成不满所持续的时间。"
77,TXT_KEY_BUILDING_TURKIC_DIVAN,迪凡,120,律法( Law ),,,,,,"<color=204,204,216,255>迪凡</color>，土库曼民族取代<color=204,204,216,255>监狱</color>，降低了城市的维护成本，并允许你雇用一名<color=102,229,255,255>政治家</color>专家。"
78,TXT_KEY_BUILDING_BATH,浴室,100,传统医学( Medicine ),,,,,,"<color=204,204,216,255>浴室</color>增加城市的文化产出，为城市增加健康。"
79,TXT_KEY_BUILDING_HARAPPAN_RESERVOIR,蓄水池,60,石工术( Masonry ),,,,,,"<color=204,204,216,255>蓄水池</color>是哈拉帕的特色建筑，替代<color=204,204,216,255>浴场</color>，需要<color=127,255,25,255>石工术</color>科技而不是<color=127,255,25,255>传统医学</color>科技即可建造，并且建造时无需<color=204,204,216,255>引水渠</color>。"
80,TXT_KEY_BUILDING_TEOTIHUACAN_TEMAZCAL,特马兹卡尔,100,传统医学( Medicine ),,,,,,"特马兹卡尔是蒂奥蒂华文明的特殊建筑，用于替代<color=204,204,216,255>浴室</color>、<color=204,204,216,255>浴池</color>。它提供了额外的健康，并且不需要<color=204,204,216,255>引水渠</color>"
81,TXT_KEY_BUILDING_OTTOMAN_HAMMAM,土耳其浴室,100,传统医学( Medicine ),,,,,,"<color=204,204,216,255>土耳其浴室</color>是奥斯曼的特色建筑，替代<color=204,204,216,255>引水渠</color>，可提升城市的快乐度和健康度。在城市规模需要扩大或是市民的提出要求时建造<color=204,204,216,255>土耳其浴室</color>。"
82,TXT_KEY_BUILDING_FORGE,煅造场,120,炼钢( Steel ),,,,,,"<color=204,204,216,255>煅造场</color>可提升城市的生产能力，但也会影响城市健康度。<color=204,204,216,255>煅造场</color>是建造<color=204,204,216,255>青铜巨像</color>、<color=204,204,216,255>埃菲尔铁塔</color>和<color=204,204,216,255>自由女神像</color>世界奇观，以及<color=204,204,216,255>大铁厂</color>国家奇观的前提。"
83,TXT_KEY_BUILDING_IRON_FORGE,铁匠铺,80,铁器( Bloomery ),,,,,,TXT_KEY_BUILDING_IRON_FORGE_STRATEGY
84,TXT_KEY_BUILDING_MANDE_MINT,铸币厂,120,炼钢( Steel ),,,,,,"<color=204,204,216,255>铸币厂</color>，曼丁卡替代<color=204,204,216,255>锻造厂</color>，提供了一个小的财富增长。"
85,TXT_KEY_BUILDING_ITALIAN_ART_STUDIO,艺术作坊,120,炼钢( Steel ),,,,,,"<color=204,204,216,255>艺术工作室</color>，意大利替代<color=204,204,216,255>锻造</color>，提供了一个大的文化促进，并允许你雇用一个<color=102,229,255,255>艺术家</color>专家。"
86,TXT_KEY_BUILDING_DUTCH_MILL,荷兰风车,120,炼钢( Steel ),,,,,,"<color=204,204,216,255>荷兰风车</color>是荷兰对<color=204,204,216,255>锻造厂</color>的替代品，它提高了海军部队的建造速度，并允许你雇佣一名<color=102,229,255,255>商人</color>。"
87,TXT_KEY_BUILDING_INCA_STONECUTTER,印加锻造厂,120,炼钢( Steel ),,,,,,"<color=204,204,216,255>印加锻造厂</color>，<color=204,204,216,255>Forge</color>的印加替代品不会增加城市的不健康，它可以通过使用<color=102,229,255,255>石头</color>来增加幸福感，如果有<color=102,229,255,255>石头</color>，它可以非常快速地建造。"
88,TXT_KEY_BUILDING_MUISCA_GOLDSMITH,金匠铺,90,金属熔炼( Smelting ),,,,,﯆每个黄金资源+1金币,TXT_KEY_BUILDING_MUISCA_GOLDSMITH_STRATEGY
