单位ID,KEY,文本,单位成本,力量,移动,启用科技,帮助,策略
101,TXT_KEY_UNIT_TAMIL_ROCKETEER,泰米尔火弹兵,100,12,2,化学( Chemistry ),,"<color=255,255,0,255>火箭兵</color>，泰米尔人代替<color=255,255,0,255>掷弹兵</color>，有两个额外的力量点，并对另外两个单位造成附带伤害。"
102,TXT_KEY_UNIT_HOLY_ROMAN_GRENZER,奥地利边防军,80,8,2,地理学( Geography ),,"<color=255,255,0,255>奥地利边防军</color>，神圣罗马取代<color=255,255,0,255>掷弹机</color>，需要<color=127,255,25,255>地理</color>，而不是<color=127,255,25,255>化学</color>，从<color=102,229,255,255>游击队I</color>和<color=102,229,255,255>脱离I</color>提升。"
103,TXT_KEY_UNIT_COLOMBIAN_ALBION_LEGION,不列颠志愿兵,100,12,3,化学( Chemistry ),,作为掷弹兵的替代兵种，移动力和攻城能力更强。
104,TXT_KEY_UNIT_DUTCH_GARDIST,荷兰掷弹兵,100,10,2,化学( Chemistry ),,"<color=255,255,0,255>加德斯特</color>，荷兰替代<color=255,255,0,255>掷弹兵</color>，对<color=255,255,0,255>火药单位</color>有战斗加成。"
105,TXT_KEY_UNIT_IRAN_NAFFATUN,拿法掷弹兵,100,10,2,化学( Chemistry ),,"<color=255,255,0,255>那法掷油兵</color>，伊朗替代<color=255,255,0,255>榴弹兵</color>造成更多的附带伤害。"
106,TXT_KEY_UNIT_AT_INFANTRY,反坦克步兵,120,14,2,火箭( Rocketry ),,"此种后期火器单位组建成本低廉，专用于克制装甲单位，并天然拥有<color=102,229,255,255>伏击能力</color>晋升。"
107,TXT_KEY_UNIT_INFANTRY,现代步兵,140,20,2,社会服务( Social_services ),,这种部队是第一种现代军事单位，可以对抗大量火器部队。
108,TXT_KEY_UNIT_ITALIAN_BERSAGLIERE,意大利神射手军团,140,20,3,社会服务( Social_services ),,"<color=255,255,0,255>Bersagliere</color>，意大利语中的<color=255,255,0,255>步兵</color>有一个额外的移动点。"
109,TXT_KEY_UNIT_ARGENTINA_PATRICIOS,阿根廷帕特里西奥斯兵团,140,20,2,社会服务( Social_services ),,"<color=255,255,0,255>Patricios</color>是阿根廷取代<color=255,255,0,255>步兵</color>的产品，从<color=102,229,255,255>训练I</color>开始。"
110,TXT_KEY_UNIT_MEXICO_EJERCITO,制宪军,140,20,2,社会服务( Social_services ),,"<color=255,255,0,255>Ejercito compustcionalista</color>是墨西哥替代<color=255,255,0,255>步兵</color>的战斗加成。"
111,TXT_KEY_UNIT_MUGHAL_SEPOY,莫卧儿步兵,140,20,2,社会服务( Social_services ),,"<color=255,255,0,255>Sepoy</color>，莫卧儿帝国的<color=255,255,0,255>步兵</color>的替代品，从1-2次先发制人开始。"
112,TXT_KEY_UNIT_AUSTRALIAN_DIGGER,澳新军团,140,20,2,社会服务( Social_services ),,"<color=255,255,0,255>澳新军团</color>，澳大利亚替代<color=255,255,0,255>步兵</color>，首先是<color=102,229,255,255>演练I</color>推广。"
113,TXT_KEY_UNIT_SAM_INFANTRY,防空步兵,150,18,2,激光( Laser ),,这种火器近战部队装备有地对空导弹，这使他们在同飞行器和直升机作战时获得加成。可以将它们与易受空中打击的其他部队部署在一起。
114,TXT_KEY_UNIT_MOBILE_SAM,防空导弹车,240,22,3,机器人( Robotics ),,"<color=255,255,0,255>防空导弹车</color>是最有效的陆基防空武器。专门用于拦截敌方固定翼飞机，或是对付<color=255,255,0,255>武装直升机</color>。"
115,TXT_KEY_UNIT_MARINE,海军陆战队,175,24,2,全球化思潮( Globalism ),,"训练这种强大的现代步兵可对抗<color=255,255,0,255>炮兵</color>和<color=255,255,0,255>重机枪</color>。它天生拥有<color=102,229,255,255>两栖作战</color>晋升，因此可以用它们从船上攻击，或跨河攻击。"
116,TXT_KEY_UNIT_AMERICAN_NAVY_SEAL,海豹突击队,160,24,2,全球化思潮( Globalism ),,"这种强大的现代陆战单位（美国用以取代<color=255,255,0,255>海军陆战队</color>）在对抗<color=255,255,0,255>火炮</color>和<color=255,255,0,255>重机枪</color>时可获得加成奖励。它天生具有<color=102,229,255,255>两栖作战</color>和<color=102,229,255,255>长途行军</color>晋升。"
117,TXT_KEY_UNIT_BRAZIL_GUARDA_NACIONAL,巴西国民警卫队,160,24,2,全球化思潮( Globalism ),,"<color=255,255,0,255>Guarda Nacional</color>是巴西取代<color=255,255,0,255>海军陆战队</color>的巴西单位，在防守城市时会获得奖励。"
118,TXT_KEY_UNIT_PARATROOPER,伞兵,175,24,2,雷达技术( Radar ),,"<color=255,255,0,255>伞兵</color>是出现于游戏后期的火器单位，能够在航程范围内<color=102,229,255,255>空降</color>至任何已探明的敌方地域。要注意敌方空军的动向，伞兵执行空降任务时可能遭到拦截。"
119,TXT_KEY_UNIT_MECHANIZED_INFANTRY,机械化步兵,200,32,3,移动通信( Telecommunications ),,"最强大的火器部队。较其他步兵移动更快，有一定几率拦截对方的飞行器。天生具有<color=102,229,255,255>长途行军</color>晋升"
120,TXT_KEY_UNIT_ARCHER,弓手,25,3,2,鞣毛制造( Tanning ),,这种原始的射击部队是最初期用来防御你的城市的明智选择。它有机会获得1个先发打击点数，在城市和丘陵地带可获得额外防御加成。
121,TXT_KEY_UNIT_BABYLONIAN_ASHARITTU_BOWMAN,巴比伦长弓手,25,3,2,鞣毛制造( Tanning ),,"<color=255,255,0,255> 阿沙里图长弓手 </color>是<color=255,255,0,255> Archer </color>的巴比伦替代品，在攻击敌方单位时会造成附带伤害。"
122,TXT_KEY_UNIT_NUBIAN_MEDJAY,埃及守护者,25,4,2,鞣毛制造( Tanning ),,"<color=255,255,0,255>守护者</color>是公元前800年至公元1300年在埃及诞生的野蛮人单位。"
123,TXT_KEY_UNIT_WARI_PICTA_AUCAC,瓦里弓箭手,30,3,2,鞣毛制造( Tanning ),,TXT_KEY_UNIT_WARI_PICTA_AUCAC_STRATEGY
124,TXT_KEY_UNIT_SKIRMISHER,标枪兵,30,4,2,契约精神( Contract ),,"<color=255,255,0,255>标枪兵</color>有一次先发打击，可以退出战斗，造成附带伤害并且在</color>山</color>、</color>森林</color>和</color>雨林</color>有攻击加成。"
125,TXT_KEY_UNIT_MAYAN_HOLKAN,霍坎战士,30,3,2,金属熔炼( Smelting ),﯆击败敌军时获得ﬄ,"玛雅人取代<color=255,255,0,255>玛雅战士</color>的<color=255,255,0,255>霍尔坎</color>，能够进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>，在赢得战斗时向最近的城市提供食物，并且有更高的机会退出战斗。"
126,TXT_KEY_UNIT_MANDE_KELEBOLO,马里游击兵,30,5,2,契约精神( Contract ),,"在沙漠和对抗近战单位的战斗中，马里取代了游击兵</color>，并且能够进入</color>丛林</color>，<color=102,229,255,255>雨林<color=102,229,255,255>和沼泽<color=102,229,255,255>。"
127,TXT_KEY_UNIT_CHIMU_SC_AUCAC,奇穆标枪手,30,4,2,契约精神( Contract ),,"<color=255,255,0,255>标枪兵</color>有一次先发打击，可以退出战斗，造成附带伤害并且在</color>山</color>、</color>森林</color>和</color>雨林</color>有攻击加成。"
128,TXT_KEY_UNIT_MUISCA_GUECHA_WARRIOR,格杀勇士,30,5,2,私有制( Property ),,TXT_KEY_UNIT_MUISCA_GUECHA_WARRIOR_STRATEGY
129,TXT_KEY_UNIT_LONGBOWMAN,长弓手,60,6,2,公社( Commune ),,"这种强大的投射部队在防御城市和丘陵时可获得一定防御加成。训练它们来取代你过时的<color=255,255,0,255>弓箭手</color>和<color=255,255,0,255>马里突击手</color>"
130,TXT_KEY_UNIT_INDIAN_PATIYODHA,印度长弓手,50,5,2,贵族( Nobility ),,"<color=255,255,0,255>Patiyodha</color>，印度替代<color=255,255,0,255>Longbowman</color>，需要<color=127,255,25,255>贵族</color>，而不是<color=127,255,25,255>公社</color>，力量点更少，价格更低，在攻击<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>时有战斗奖励，能够进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>，并以<color=102,229,255,255>阵型</color>和<color=102,229,255,255>伍德斯曼I</color>促销活动开始。"
131,TXT_KEY_UNIT_CONGO_NGOLO,刚果长弓手,60,6,2,公社( Commune ),,"<color=255,255,0,255>Embamba Ngolo</color>是刚果人取代<color=255,255,0,255>长弓人</color>的先发制人。"
132,TXT_KEY_UNIT_INCA_SLINGER,印加长弓手,60,6,2,封建制度( Feudalism ),,"<color=255,255,0,255>Huaraca</color>是印加语对<color=255,255,0,255>长弓人</color>的替代品，需要<color=127,255,25,255>封建主义</color>技术，不需要<color=127,255,25,255>公社</color>技术。"
133,TXT_KEY_UNIT_RATTAN_ARCHER,藤弓手,60,6,2,公社( Commune ),,"<color=255,255,0,255>藤弓手</color>，越南替代<color=255,255,0,255>长弓手</color>，有额外的第一次打击，有更高的撤退机会，并对更多单位造成附带伤害。"
134,TXT_KEY_UNIT_CROSSBOWMAN,弩手,50,6,2,机械( Machinery ),,"这是一种强大的投射部队，在对抗肉搏部队时获有加成。将这些部队与<color=255,255,0,255>长枪兵</color>和<color=255,255,0,255>钉锤手</color>混编时可获得很强的综合战力。"
135,TXT_KEY_UNIT_CHINESE_CHOKONU,诸葛弩,50,6,2,手工业( Artisanry ),,"<color=255,255,0,255>诸葛弩</color>是<color=255,255,0,255>弩手</color>的中国替代品，它有额外的第一一击，并造成附带伤害。"
136,TXT_KEY_UNIT_ITALIAN_BALESTRIERE,热那亚弩手,50,6,2,机械( Machinery ),,"<color=255,255,0,255>意大利弩手</color>是<color=255,255,0,255>弩手</color>的意大利替代品，它有一个额外的第一次攻击，并以<color=102,229,255,255>两栖</color>提升。"
137,TXT_KEY_UNIT_CHARIOT,战车,30,4,3,简单机械( Leverage ),,当你关注行军的速度时，可以训练这种最原始的骑乘单位，但记住使他们一直保持进攻，因为它们无法获得防御加成。
138,TXT_KEY_UNIT_EGYPTIAN_WARCHARIOT,埃及战车,30,5,3,简单机械( Leverage ),,"<color=255,255,0,255>战车</color>，埃及替代<color=255,255,0,255>战车</color>，有一个额外的力量点，对第一次攻击免疫，并以<color=102,229,255,255>沙漠适应</color>提升。"
139,TXT_KEY_UNIT_HITTITE_HULUGANNI,赫梯战车,25,5,3,简单机械( Leverage ),,赫梯战车[COLOR_return]是一个野蛮人单位，在公元前2000年到公元前800年在小亚细亚繁殖。
140,TXT_KEY_UNIT_CELTIC_CIDAINH,希丹,30,4,2,简单机械( Leverage ),,"<color=255,255,0,255>Cidainh</color>是一个在高卢漫游的野蛮人单位。"
141,TXT_KEY_UNIT_PERSIA_SCYTHED_CHARIOT,波斯镰刀战车,30,4,3,简单机械( Leverage ),,"<color=255,255,0,255>镰刀战车</color>，波斯语替代<color=255,255,0,255>战车</color>，对<color=255,255,0,255>近战单位</color>有战斗加成。"
142,TXT_KEY_UNIT_HORSEMAN,骑手,50,6,3,骑术( Riding ),,"<color=255,255,0,255>骑兵<color=255,255,0,255>不获得防御奖励，可以退出战斗，在城市中受到战斗惩罚，对<color=255,255,0,255>攻城单位<color=255,255,0,255>有奖励，对<color=255,255,0,255>弹射器单位有侧翼攻击。"
143,TXT_KEY_UNIT_GREEK_COMPANION,希腊骑兵,50,6,3,骑术( Riding ),,"<color=255,255,0,255>希腊骑兵</color>，[COLOR U TEXT]骑兵</color>的希腊替代品，在攻击城市时没有战斗惩罚，并以<color=102,229,255,255>三月</color>和<color=102,229,255,255>闪电战</color>提升。"
144,TXT_KEY_UNIT_PHOENICIAN_NUMIDIAN_CAVALRY,努米迪亚骑兵,50,6,3,骑术( Riding ),,"努米迪亚骑兵</color>，腓尼基人代替</color>骑兵，攻击城市时没有战斗惩罚，对<color=102,229,255,255>近战单位</color>有战斗奖励，并从<color=102,229,255,255>脱离I</color>和<color=102,229,255,255>沙漠适应</color>升级开始。"
145,TXT_KEY_UNIT_KUSHAN_ASVAKA,伊朗骑兵,50,6,3,骑术( Riding ),,"<color=255,255,0,255>Asvaka</color>是公元30年至220年在中亚繁衍的野蛮人单位。"
146,TXT_KEY_UNIT_XIONGNU_GULI,谷蠡,50,6,3,骑术( Riding ),,TXT_KEY_UNIT_XIONGNU_GULI_STRATEGY
147,TXT_KEY_UNIT_CAMEL_RIDER,骆驼骑兵,50,5,3,骑术( Riding ),,"<color=255,255,0,255>骆驼骑兵<color=255,255,0,255>不获得防御奖励，可以退出战斗，在城市受到战斗惩罚，对<color=255,255,0,255>攻城单位<color=255,255,0,255>和<color=255,255,0,255>重骑兵单位<color=255,255,0,255>有奖励，对<color=255,255,0,255>弹弓单位进行侧翼攻击，在<color=102,229,255,255>沙漠</color>中获得战斗奖励，并从<color=102,229,255,255>沙漠适应</color>升级开始。"
148,TXT_KEY_UNIT_HORSE_ARCHER,骑射手,70,6,3,贵族( Nobility ),,这种骑乘单位在早期是十分强大的，尤其擅长对抗装备投石机的敌军部队。
149,TXT_KEY_UNIT_MONGOLIAN_MANGUDAI,蒙古突骑,70,8,4,贵族( Nobility ),,"蒙古语替代的<color=255,255,0,255>马弓箭手</color>，有两个额外的力量点和一个额外的移动点。"
150,TXT_KEY_UNIT_TIBETAN_KHAMPA,康藏骑兵,70,6,3,贵族( Nobility ),,"<color=255,255,0,255>坎帕</color>，藏人代替<color=255,255,0,255>马弓箭手</color>，能够进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>，可以探索敌对领土，在攻击城市时有攻击加成。"
151,TXT_KEY_UNIT_TURKIC_OGHUZ,土库曼骑兵,50,6,4,贵族( Nobility ),,"土库曼骑兵取代了马弓箭手奥古兹</color>，开始于3月<color=102,229,255,255>的晋升，拥有隐藏的国籍，可以攻击其他文明的单位而不宣战。"
152,TXT_KEY_UNIT_MOORS_BERBER_CAVALRY,柏柏尔骑兵,70,6,3,贵族( Nobility ),,"<color=255,255,0,255>柏柏尔骑兵</color>，摩尔人替代<color=255,255,0,255>马弓箭手</color>，不受第一次攻击，并且有更大的撤退机会。"
153,TXT_KEY_UNIT_CAMEL_ARCHER,骆驼射手,70,5,3,贵族( Nobility ),,"<color=255,255,0,255>骆驼弓箭手<color=255,255,0,255>不获得防御加成，可以退出战斗，在开阔地形上有战斗加成，对<color=255,255,0,255>重骑兵单位有加成，在<color=102,229,255,255>沙漠</color>中获得战斗奖励，并从<color=102,229,255,255>沙漠适应</color>升级开始。"
154,TXT_KEY_UNIT_ARABIAN_CAMEL_ARCHER,骆驼射手,90,8,3,贵族( Nobility ),,"<color=255,255,0,255>阿拉伯骆驼射手</color>, 阿拉伯的UU，替代 <color=255,255,0,255>骆驼骑射手</color>, 免疫首发打击, 需要 <color=102,229,255,255>骆驼资源</color> 而不是<color=102,229,255,255>马资源</color>, 不需要 <color=102,229,255,255>铁资源</color>, 在 <color=102,229,255,255>沙漠</color> 有战斗加成，自动晋升 <color=102,229,255,255>沙漠适应</color> ."
155,TXT_KEY_UNIT_LANCER,骑兵,100,10,3,封建制度( Feudalism ),,"<color=255,255,0,255>骑兵<color=255,255,0,255>对第一次攻击免疫，不获得防御奖励，在城市有战斗惩罚，并且对<color=255,255,0,255>弹射器<color=255,255,0,255>和<color=255,255,0,255>投石机<color=255,255,0,255>单位有侧翼攻击。"
156,TXT_KEY_UNIT_IRON_PAGODA,铁浮屠,100,11,3,封建制度( Feudalism ),,TXT_KEY_UNIT_IRON_PAGODA_STRATEGY
157,TXT_KEY_UNIT_INDIAN_VARU,印度象兵,120,12,2,封建制度( Feudalism ),,"<color=255,255,0,255>瓦鲁</color>，印第安人取代<color=255,255,0,255>战象</color>，需要<color=102,229,255,255>象牙</color>，而不是<color=102,229,255,255>马</color>，更贵，有两个额外的力量点和一个较少的移动点，能够进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>，并且对<color=255,255,0,255>重骑兵</color>有战斗加成。"
158,TXT_KEY_UNIT_PERSIAN_SAVARAN,波斯骑兵,80,8,3,指挥学( Generalship ),,"<color=255,255,0,255>萨瓦兰</color>，波斯人取代<color=255,255,0,255>柳叶刀</color>，需要 <color=127,255,25,255>将军</color>，而不是 <color=127,255,25,255>封建主义</color>，有两个较少的力量点和没有战斗惩罚时攻击城市。"
159,TXT_KEY_UNIT_ARABIAN_MOBILE_GUARD,阿拉伯骑兵,100,10,3,封建制度( Feudalism ),,"<color=255,255,0,255>移动卫兵</color>是<color=255,255,0,255>Lancer</color>的阿拉伯替代品，不需要[COLOR戋u HIGHLIGHT戋TEXT]铁</color>资源，可以退出战斗，攻击城市时不受战斗惩罚。"
160,TXT_KEY_UNIT_MONGOLIAN_KESHIK,蒙古怯薛,100,10,4,封建制度( Feudalism ),,"<color=255,255,0,255>克什克<color=255,255,0,255>，蒙古人代替<color=255,255,0,255>长矛<color=255,255,0,255>不需要<color=255,255,0,255>铁<color=255,255,0,255>资源，有额外的移动点，造成附带伤害，有第一次打击，并且在攻击城市时获得战斗加成。"
161,TXT_KEY_UNIT_BYZANTINE_CATAPHRACT,重甲骑兵,100,10,3,贵族( Nobility ),,"<color=255,255,0,255>重甲骑兵</color>是拜占庭的特色单位，替代<color=255,255,0,255>骑士</color>，战斗力更强，但是不对先发打击免疫。"
162,TXT_KEY_UNIT_THAI_CHANG_SUEK,暹罗战象,100,10,3,封建制度( Feudalism ),,"<color=255,255,0,255>暹罗战象</color>，泰国替代<color=255,255,0,255>柳叶刀</color>，需要<color=102,229,255,255>象牙</color>，而不是<color=102,229,255,255>马</color>，不需要<color=102,229,255,255>铁</color>，能够进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>，对<color=255,255,0,255>重骑兵单位</color>有战斗加成，对<color=255,255,0,255>火箭炮单位</color>和<color=255,255,0,255>火枪手单位</color>有攻击加成。"
163,TXT_KEY_UNIT_MAMLUK_ROYAL_MAMLUK,皇家马穆鲁克,100,10,3,封建制度( Feudalism ),,"皇家马穆鲁克<color=255,255,0,255>皇家马穆鲁克</color>，马穆鲁克替代<color=255,255,0,255>骑兵</color>对<color=255,255,0,255>轻型骑兵单位</color>和<color=255,255,0,255>重型骑兵单位</color>有战斗加成，并以<color=102,229,255,255>沙漠适应</color>开始。"
164,TXT_KEY_UNIT_NIGERIA_YAN_LIFIDA,尼日利亚重骑兵,100,10,3,封建制度( Feudalism ),,"<color=255,255,0,255>尼日利亚重骑兵</color>是尼日利亚替代<color=255,255,0,255>骑兵</color>的，不需要<color=102,229,255,255>铁</color>资源，可以进入<color=102,229,255,255>丛林</color>和<color=102,229,255,255>雨林</color>并获得防御加成"
165,TXT_KEY_UNIT_HUNGARY_HUSZAR,马扎尔轻骑兵,100,10,4,封建制度( Feudalism ),,TXT_KEY_UNIT_HUNGARY_HUSZAR_STRATEGY
166,TXT_KEY_UNIT_MANDE_FARARI,法拉里骑兵,100,9,3,封建制度( Feudalism ),,"<color=255,255,0,255>法拉利</color>是一个野蛮人单位，在公元450年至1700年的撒哈拉沙漠中繁殖。"
167,TXT_KEY_UNIT_FRANCE_CHEVALIER,法兰西圣骑士,100,10,3,封建制度( Feudalism ),,"<color=255,255,0,255>骑士</color>骑士<color=255,255,0,255>兰瑟</color>的法国替代品，对<color=255,255,0,255>重骑兵单位</color>和<color=255,255,0,255>轻骑兵单位</color>有战斗加成。"
168,TXT_KEY_UNIT_SELJUK_GHULAM_WARRIOR,古拉姆战士,100,10,3,封建制度( Feudalism ),,"<color=255,255,0,255>Ghulam Warrior</color>，<color=255,255,0,255>长矛</color>的塞尔柱替代品，不需要<color=102,229,255,255>铁</color>资源，可以退出战斗，对<color=255,255,0,255>长矛兵</color>和<color=255,255,0,255>Lancer</color>单位有战斗加成，且不能升级。"
169,TXT_KEY_UNIT_LITHUANIAN_VYTIS,立陶宛骑士,100,10,3,封建制度( Feudalism ),﯆中古时代结束前与异教徒作战时+25% 战斗力,TXT_KEY_UNIT_LITHUANIAN_VYTIS_STRATEGY
170,TXT_KEY_UNIT_PISTOLIER,手枪骑兵,80,8,3,热兵器军队( Firearms ),,"<color=255,255,0,255>手枪手</color>对第一次攻击免疫，不接受防御加成，可以退出战斗，在开阔地形上有战斗加成，并且对<color=255,255,0,255>弹射器</color>，<color=255,255,0,255>投石机</color>，<color=255,255,0,255>轰炸</color>和<color=255,255,0,255>加农炮</color>单位。"
171,TXT_KEY_UNIT_SIOUX_MOUNTED_BRAVE,印第安骑兵,80,8,3,热兵器军队( Firearms ),,"<color=255,255,0,255>印第安骑兵</color>是一个野蛮人单位，在公元1700年至1900年在北美中部繁衍。"
172,TXT_KEY_UNIT_ETHIOPIA_SAVANNA_HUNTER,埃塞尔比亚手枪骑兵,80,8,3,热兵器军队( Firearms ),,"<color=255,255,0,255>Savanna Hunter</color>，埃塞俄比亚替代<color=255,255,0,255>手枪式骑兵</color>，可以进入<color=102,229,255,255>雨林</color>和<color=102,229,255,255>丛林</color>并从<color=102,229,255,255>移动性</color>和<color=102,229,255,255>Sentry</color>促销活动开始。"
173,TXT_KEY_UNIT_CAMEL_GUNNER,骆驼枪手,80,7,3,热兵器军队( Firearms ),,"<color=255,255,0,255>骆驼炮手<color=255,255,0,255>对第一次攻击免疫，不接受防御加成，可以退出战斗，在开阔地形上有战斗加成，并且对<color=255,255,0,255>弹射器<color=255,255,0,255>，<color=255,255,0,255>投石机<color=255,255,0,255>，<color=255,255,0,255>轰炸<color=255,255,0,255>和<color=255,255,0,255>加农炮<color=255,255,0,255>单位，对<color=255,255,0,255>重骑兵单位有加成，在<color=255,255,0,255>沙漠<color=255,255,0,255>有战斗加成，从<color=255,255,0,255>沙漠适应<color=255,255,0,255>升级开始。"
174,TXT_KEY_UNIT_MOORISH_CAMEL_GUNNER,火枪骆驼骑兵,120,12,3,联合兵种( Combined_arms ),,TXT_KEY_UNIT_MOORISH_CAMEL_GUNNER_STRATEGY
175,TXT_KEY_UNIT_CUIRASSIER,胸甲骑兵,120,12,3,联合兵种( Combined_arms ),,"<color=255,255,0,255>胸甲骑兵</color>标志着骑乘单位从冷兵器时代发展到火器时代，是<color=255,255,0,255>近代骑兵</color>出现之前最强大的陆军兵种。"
176,TXT_KEY_UNIT_TATAR_NOYAN,那颜,110,11,3,火药( Gunpowder ),,早期的重甲骑兵，可以无视地形消耗。
177,TXT_KEY_UNIT_MANCHURIA_EIGHTBANNER,八旗军,120,12,3,联合兵种( Combined_arms ),,"<color=255,255,0,255>八旗军</color>，满清文明取代<color=255,255,0,255>胸甲骑兵</color>有很高的退出机会。"
178,TXT_KEY_UNIT_FRENCH_GENDARME,近卫骑兵,120,12,3,联合兵种( Combined_arms ),,"<color=255,255,0,255>法国近卫骑兵</color>，<color=255,255,0,255>胸甲骑兵</color>的法文替代品，从<color=102,229,255,255>夹</color>和<color=102,229,255,255>领导层</color>提升。"
179,TXT_KEY_UNIT_SPANISH_CONQUISTADOR,西班牙征服者,120,12,3,地理探索( Exploration ),,"这种强大的骑乘单位（西班牙用以取代<color=255,255,0,255>胸甲骑兵</color>）在攻击肉搏部队时拥有加成，并且可以获得地形防御加成，这不同与其他骑乘单位。"
180,TXT_KEY_UNIT_POLISH_WINGED_HUSSAR,翼骑兵,120,12,3,联合兵种( Combined_arms ),,"<color=255,255,0,255>翼骑兵</color>是<color=255,255,0,255>胸甲骑兵</color>的波兰替代品，对<color=255,255,0,255>Arquebusier</color>和<color=255,255,0,255>火枪手</color>有战斗加成。"
181,TXT_KEY_UNIT_ITALY_CONDOTTIERI,残枪骑兵,120,12,3,联合兵种( Combined_arms ),,"<color=255,255,0,255>Condottiero</color>是意大利的<color=255,255,0,255>铁甲</color>的替代品，在城市中不会受到处罚。"
182,TXT_KEY_UNIT_HUSSAR,轻骑兵,100,10,3,民族主义( Nationalism ),,"<color=255,255,0,255>轻骑兵</color>不获得防御加成，可以退出战斗，在开阔地形上有战斗加成，对<color=255,255,0,255>大炮</color>和<color=255,255,0,255>大炮</color>单位有攻击加成，对<color=255,255,0,255>弹射器</color>有侧翼攻击，<color=255,255,0,255>投石机</color>，<color=255,255,0,255>轰炸</color>，<color=255,255,0,255>大炮</color>和<color=255,255,0,255>大炮</color>单位。"
183,TXT_KEY_UNIT_RUSSIAN_COSSACK,哥萨克骑兵,100,10,3,测量学( Measurement ),,"俄罗斯取代<color=255,255,0,255>轻骑兵</color>的<color=255,255,0,255>哥萨克</color>，要求<color=127,255,25,255>测量</color>，而不是<color=127,255,25,255>民族主义</color>和<color=127,255,25,255>生物</color>，并对<color=255,255,0,255>挂载单位</color>有战斗加成。"
184,TXT_KEY_UNIT_COLOMBIAN_LLANERO,哥伦比亚骑兵,100,10,3,民族主义( Nationalism ),,"哥伦比亚替代<color=255,255,0,255>轻骑兵</color>的<color=255,255,0,255>利亚内罗</color>，不需要 <color=127,255,25,255>生物</color>技术，对<color=255,255,0,255>火枪手<color=255,255,0,255>和<color=255,255,0,255>步枪兵<color=255,255,0,255>单位有战斗奖励，并且从<color=255,255,0,255>移动升级开始。"
185,TXT_KEY_UNIT_DRAGOON,龙骑兵,140,14,3,生物学( Biology ),,"<color=255,255,0,255>龙骑兵</color>不会获得防御奖励，是工业时代基本的<color=255,255,0,255>装备单位</color>。"
186,TXT_KEY_UNIT_FRENCH_GUARD,法国龙骑兵,140,14,3,生物学( Biology ),,"<color=255,255,0,255>守卫</color>，<color=255,255,0,255>龙骑兵</color>的法国替代品，从<color=102,229,255,255>夹</color>和<color=102,229,255,255>领导层</color>的晋升开始。"
187,TXT_KEY_UNIT_ARGENTINE_GRENADIER_CAVALRY,掷弹骑兵,140,14,3,生物学( Biology ),,这是一种能够克制来复枪兵的骑座单位
188,TXT_KEY_UNIT_CAVALRY,近代骑兵,150,14,3,微生物学( Microbiology ),,"这种最强大的骑乘单位特别适于用于探索地形，并能从战斗中撤退。在攻击<color=255,255,0,255>加农炮</color>时拥有奖励加成，但不能获得防御时的地形奖励。"
